id,category,is_liquid,nutritional_saturated_fat_100g,nutritional_carbohydrates_100g,nutritional_fat_100g,nutritional_sugars_100g,nutritional_proteins_100g,nutritional_fiber_100g,nutritional_energy_100g,nutritional_salt_100g,ingredients_ordered,target
765866d8167564278da2cf67aac203af,Vegano y vegetariano,0,1.9,,16.8,0.8,16.7,4.3,272.0,1.41,"['gR05M7hdHDnkxI1EY0jB', 'SsJ4xBTSIBSpMwWeQFSC', 'WVrtAT81SCHx5oT8xEUZ', 'dLHEdxGgVyavO3siKW5Q', 'nJsnpHiBOUfvj5itad3B', 'iL5spqn3PMmWSohrPG8g', 'iC6UGtMCKFlXQvjgZz4h', '0UbHkRpUSC2k9Ig3MJvC', 'UODOEihlSRK2ZXbuS1Fy', 'weoDSaM7sGCjyoit6jDE', '0kHti3jkfjNYEOdiqaFM', 'xFrtxzgvECAfKXfg7XcT', 'eF6julm4IZHrNS8RpEGK', 'MQpIwugBJhNOSeQt6oEs', 'UccwOFCBh6LQ9Vp2J8Nm', '1td50V0ztIZjCjIxqRjU', '204yHiGpwjnPOsnVw9px', '5kKKTGZZohghBcSCNkVi', 'fWlktkYrTN8KqYsLGRma', '2JeXPfb67I4sxZUDIRWa']",1
819227b8191615cea03aaf6763099b85,Panes,0,0.9,51.0,4.7,7.4,8.9,3.2,291.0,1.4,"['nJsnpHiBOUfvj5itad3B', 'cSoODVpMKhGnpTL6xxSn', '1td50V0ztIZjCjIxqRjU', '7ZargBWUn7XjUv4CrQIQ', '6mEnVSQNtatEw8qEzgc5', 'tb8vqOKlRMtbAP8KExqW', '9MWFiCe1aRsZvGHwIx5G', '8IjrNQjQcn7pLd42pqzL', '0kHti3jkfjNYEOdiqaFM', 'aHjvLM0O0ffLEkd1VcaZ', 'iC6UGtMCKFlXQvjgZz4h', 'UODOEihlSRK2ZXbuS1Fy', 'tpb8tpeVxpNL4sNQFiKD', 'TFlTjzT7eDwS6KGDZsBe', 'ZpuORLu5W7FrvGpb08hf', 'itXxiDD8j8NdA9nXeekd', '2JeXPfb67I4sxZUDIRWa', 'lKffwL978fhcVYXTSUWe', 'BO3XiuaC4uLDMxsVNVl1', 'NOyUoaHLhrVjccHEcDi7']",1
3ab004c9bf842cc6f87368e1daada35c,Verduras y hortalizas,0,0.0,1.0,0.0,0.0,0.7,1.2,9.0,0.8,"['0QGKoQHlkIBm6SlHSILI', 'cSoODVpMKhGnpTL6xxSn', '0kHti3jkfjNYEOdiqaFM', 'UODOEihlSRK2ZXbuS1Fy', 'fVNqsrGa4Fw5ezA8h3Sl', 'SRCXqGryZQCsK6VWfKcp', 'r3leHPdAWlXoeSUfJFge', 'r3leHPdAWlXoeSUfJFge']",0
c31ebe68689adeac9900e94cc96199bc,Panes,0,0.6,49.0,3.6,3.2,9.2,5.5,276.0,0.98,"['nJsnpHiBOUfvj5itad3B', 'cSoODVpMKhGnpTL6xxSn', '8IjrNQjQcn7pLd42pqzL', 'p3jb4X9Ve3hzIKRBQrb7', 'gzRIKfUmz7ZOtl8wMkHJ', 'Jo6D4ylrU7ISkr3doKQn', 'r78ypyFUjhINe9HUxySZ', 'Ut9TR8XBxCzN0t4GO1iK', 'AXXgaN0B3DWY3heIStZb', 'rxc5wFIhCgayW8kaEr9C', 'bzZ3TpOsZpWp81ox6DUA', 'tb8vqOKlRMtbAP8KExqW', 'fGRObyVHQwoFEdcllo11', 'UZ3ZngdTY07dRYuH2C2k', 'IPokqKAb1p9bOZRDvEOC', 'U3B5xWWWOA4JxgyCLTSW', '1td50V0ztIZjCjIxqRjU', '0kHti3jkfjNYEOdiqaFM', 'itXxiDD8j8NdA9nXeekd']",1
334ee09448335590a3898d28476f1195,"Arroz, pasta y otros cereales",0,0.0,79.0,1.0,0.0,5.1,0.0,352.0,0.0,['Erwdjd3OtzRMjlHmEHdG'],1
9a93a6d863bbd3e1b749f3060ce4b080,Aperitivos,0,3.1,55.0,32.0,1.0,7.3,1.8,537.0,1.1,"['klrlExl789l2xM4BU4Fs', '4PrBWtlTbd5kiw22JmMt', '0kHti3jkfjNYEOdiqaFM']",1
8f9170c888b0d4abf43fca3d1ae49fc0,Panes,0,0.1,9.6,1.0,0.7,2.0,1.7,50.0,0.15,"['b3uvAnIAKGeu8Xvli4hN', 'cSoODVpMKhGnpTL6xxSn', 'c2HP4JRIGaL4BVQsRQVz', '1td50V0ztIZjCjIxqRjU', '8IjrNQjQcn7pLd42pqzL', 'iC6UGtMCKFlXQvjgZz4h', '0kHti3jkfjNYEOdiqaFM', 'Lcfoc1czEWV65EGzsWEl', 'UODOEihlSRK2ZXbuS1Fy', 'enWon6tWVudZ6ikijE14']",0
54929b4c3b5e93f99cf3a8c3723709f7,Bebidas vegetales,1,0.1,10.3,0.8,4.7,,0.2,50.0,0.1,"['cSoODVpMKhGnpTL6xxSn', 'MWTWvMoaCWrIHTkKh2du', '4PrBWtlTbd5kiw22JmMt', 'cI8JpM8iIeJtXBdgc27p']",0
30de3836c8a53b202eaf1f1d13b124c3,Quesos,0,27.0,1.4,39.0,0.6,26.0,0.0,461.0,1.7,"['kQozSRDTILuB5zy1wviE', 'jSihtWohJyvSXkCP2XCz', '0kHti3jkfjNYEOdiqaFM', 'O7zTZtknlvPQGfjjBwa7', 'Fj0wx8pbzPivz6J4NOnM']",0
ea1a3be9dc840daa9a8f8489eb084d33,Crema de cacao y otros untables,0,10.0,2.0,25.0,0.5,9.0,0.0,270.0,2.5,"['wLvpFK7vT8mlHcs9kjPe', 'TzsebFnIaLmNiSWwlqky', 'cSoODVpMKhGnpTL6xxSn', 'ZNqnmotBV0nWgRLoN26R', '0kHti3jkfjNYEOdiqaFM', 'yIYfGh4AA1zPLPhvT7nS', 'HU6PjZTyh5kwtMF5G1Lf', 'Xy1VPbHeUyXUU1LJY65R', '5kKKTGZZohghBcSCNkVi', 'BO3XiuaC4uLDMxsVNVl1', 'ceh7DwxTwfNb0JVJPBrL', 'UODOEihlSRK2ZXbuS1Fy', 'Anq3OHw7CwRGgXXY0KDR', 'LK0xnB0mBJRCOURIFmp1', '4F4tHMouvw9yvenMa1V7', 'qGKTUO71dOoWlFa9ST4G', 'lWrCL29ehqv7HeL22oXs', 'l1x3z9gbE2FirTQBVbrm', 'r3leHPdAWlXoeSUfJFge', 'yrC6qKHscJDlfcCajE4A', '3xIpjukb9j3A2p4wRPBU', '1td50V0ztIZjCjIxqRjU', 'KHe7VCGLvsXKNTPbd9cJ', 'XerRaVZVRan6xiIIsczM']",1
465bab1dee060a3d7e7beaa456c684b0,Panes,0,0.61,45.4,3.4,2.7,8.9,7.2,233.0,1.2,"['nJsnpHiBOUfvj5itad3B', 'cSoODVpMKhGnpTL6xxSn', 'bxS7p5OLd358c9J93WOB', '8IjrNQjQcn7pLd42pqzL', '4PrBWtlTbd5kiw22JmMt', '0kHti3jkfjNYEOdiqaFM', '1td50V0ztIZjCjIxqRjU', '0RJ7gSBJe2ZCUeUUYISd', 'UODOEihlSRK2ZXbuS1Fy', 'itXxiDD8j8NdA9nXeekd', 'ZpuORLu5W7FrvGpb08hf', 'enWon6tWVudZ6ikijE14', 'TFlTjzT7eDwS6KGDZsBe', '3qVYsEptDfv4AIUhjIFv', '9MWFiCe1aRsZvGHwIx5G', 'O1i5rJEDVuypBcVCoU5J']",1
ac950be33004b28ed103ccc4451085e6,Leche,1,1.2,4.5,1.6,4.5,3.4,0.0,46.0,0.16,['B66QOGz9SOLhFAr5xjb0'],0
270f9b0606716d6ac0c8db52d596de69,Café,0,7.3,4.2,10.2,2.0,2.0,0.0,122.0,0.08,"['EInFvJ1B8OAw3MPdoPdy', 'aZGjkzl3qzbftd2JSDHg', 'rzTNvaLwKIJHBkXdBKx3', 'UODOEihlSRK2ZXbuS1Fy']",0
7dc8a12d72e2a2296e3129f11e7bef9c,"Galletas, bollería y otros dulces",0,3.1,60.3,21.1,19.1,8.7,6.4,453.0,0.006,"['JgPovAzRZ9AaXqW364mf', '3SSIwcLXeAYwSewfwAiO', 'Hsjc1UMl2CalKEs3mEAA', 'oVpArwMyPrmJeOz4bKmk', 'Zb5W2lebYsAZN1e6DTJ5', 'UODOEihlSRK2ZXbuS1Fy']",1
806a66f09da9e7d0f3f78d7fc23c8a81,"Arroz, pasta y otros cereales",0,2.5,38.9,5.6,3.9,9.4,0.0,254.0,0.77,"['uxliri5YhtwjjTx2rt4Z', 'mDoHRYhZu6OKX1JXAd8B', 'nJsnpHiBOUfvj5itad3B', 'ZNqnmotBV0nWgRLoN26R', 'cSoODVpMKhGnpTL6xxSn', 'mbNMNF3ZpLzmG48FOrAm', 'b4a0O0bMlmdf534klh6P', 'IKwKbAVmyAW0hxichGvr', 'daPbO1a8h5iciL4yRCCr', '0kHti3jkfjNYEOdiqaFM', 'b3YQ8soCEP4z33NkhKYt', 'OG6Qv1XsLEgGnf2S6flp', 'HMktQ9RcX2wCyE9Wdba7', 'fWlktkYrTN8KqYsLGRma', '4PrBWtlTbd5kiw22JmMt', 'qMmHEcQqMBO0wHPDmiuT', 'EInFvJ1B8OAw3MPdoPdy', 'O7zTZtknlvPQGfjjBwa7', 'aZGjkzl3qzbftd2JSDHg', 'VIjQQS4cczQtrITOb1lC', 'BO3XiuaC4uLDMxsVNVl1']",0
133d4d644715399b11c94b37d12c3e92,"Galletas, bollería y otros dulces",0,17.0,61.0,27.0,34.0,6.3,0.0,516.0,0.5,"['nJsnpHiBOUfvj5itad3B', '1td50V0ztIZjCjIxqRjU', 'DfJmyg9l6Sc3ASIF1q2G', 'rmJEE4bFWpPIrtO8moNY', 'B9IGYqzjMiOh1ewBbTcX', 'UQsN3ErKH1r9cwGhVqaY', '3KwvXwubLage6x0tKwdw', 'yYbVh8QmCfhjHMLaTdwb', 'ELk2tLqW1P5etv0aDKr5', 'Ao6CaPGOixij2kmo2TzZ', 'Q0uRGn0xvTowivhhe4w2', 'EInFvJ1B8OAw3MPdoPdy', 'EavrY5bPbkSbv8aLMf3j', '4lrELYQMuMrWqYPUXucV', '0kHti3jkfjNYEOdiqaFM', 'UODOEihlSRK2ZXbuS1Fy', 'Ie95EHQVta3YjrSR1NIV', 'N3y7yDC3znfIWxDuf6Tw', 'eNEppCLkRA2JVwqw3puD', '8iM0wYtwcOGnCGastybU', 'r3leHPdAWlXoeSUfJFge', 'i1XDXiemYYwZtZOHhYn5']",1
68b0a2c5482d9ac99bf6d7f0614f0ab0,Carne,0,6.8,1.0,18.7,0.5,31.8,,299.5,3.6,"['NmQLTE1F78TXGVB3ffWN', '0kHti3jkfjNYEOdiqaFM', '1td50V0ztIZjCjIxqRjU', 'UODOEihlSRK2ZXbuS1Fy', 't8WGQDzy0iWrsOVyX5dP', '7RTLvYXlxoD3AMxhIgsA']",0
e82372393087b0873be22a08577f4f23,"Vitaminas, complementos y suplementos",0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"['mxp6nLZ2HHdpHHg0FbOM', 'N3y7yDC3znfIWxDuf6Tw', 'l1x3z9gbE2FirTQBVbrm', 'UODOEihlSRK2ZXbuS1Fy', '822DjtTdZSOyWKBJ9XsH', 'KekNTQFEIc5w5BBiIPJV', 'qGKTUO71dOoWlFa9ST4G']",1
dfa2e330c2989414ad9b330472cc9e3d,Quesos,0,55.0,6.0,85.0,6.0,11.5,0.0,147.0,23.0,"['cSoODVpMKhGnpTL6xxSn', '7dTKaDhQYCelTZY0ly0n', 'XzlwgzxTvDecP52n0pqc', 'EavrY5bPbkSbv8aLMf3j', 'cWWX3ovoZMNxqWjarNRK', 'lmKqhVU1OKxYgiyJuFf5', 'nDWxpHwrkWabYRv87dic', 'Carc5S2RELbrLwhK3hcJ', '0kHti3jkfjNYEOdiqaFM']",1
52d5391093996303e08f4f6f4bedd58c,Panes,0,0.3,66.0,1.8,1.8,10.0,14.0,351.0,1.4,"['eZckQEhurfqNIY2tBK69', 'AXXgaN0B3DWY3heIStZb', 'cI8JpM8iIeJtXBdgc27p']",1
38a2748c24016bafe63cd353a02fef1d,Quesos,0,13.5,,21.5,2.2,13.0,0.0,254.0,2.1,"['7dTKaDhQYCelTZY0ly0n', '5WRLqF55mJh0oKpPpKRQ', 'DSbTOotPKYKKwoptYNOJ', 'rjFrFfZaSjBLb5IhPU0s', 'aZGjkzl3qzbftd2JSDHg', 'KkIpcQ4oFFeIazHyLWAy', 'cWWX3ovoZMNxqWjarNRK', 'DciT3g1l687ndb8PfFB3', 'qGKTUO71dOoWlFa9ST4G', 'UODOEihlSRK2ZXbuS1Fy', '2JeXPfb67I4sxZUDIRWa', 'N3y7yDC3znfIWxDuf6Tw']",1
9b022bf78632b177da41719ce7ec7a35,Yogures,0,3.7,11.0,5.5,9.1,3.6,0.0,108.0,0.1,"['zdiaQGDVIF0jcP7JCREa', 'aZGjkzl3qzbftd2JSDHg', '1td50V0ztIZjCjIxqRjU', 'Hz9hXk66kqDCSU2jublS', 'V2vPlm96uTPLLUsZFpgl', 'Fj0wx8pbzPivz6J4NOnM']",1
ad79abc2581e9c17e59b00e5497edde1,Aperitivos,0,3.0,49.6,32.5,,6.5,4.3,525.0,1.7,"['klrlExl789l2xM4BU4Fs', '4PrBWtlTbd5kiw22JmMt', 'N3y7yDC3znfIWxDuf6Tw', '0kHti3jkfjNYEOdiqaFM', 'Ao6CaPGOixij2kmo2TzZ', 'UODOEihlSRK2ZXbuS1Fy']",1
878aa83420fac7d44d271cbd9ea175a9,Conservas,0,0.1,6.7,0.4,0.0,2.6,3.6,34.0,6.5,"['FGHAUIENI1RGw4L5p8wF', 'cSoODVpMKhGnpTL6xxSn', 'IPokqKAb1p9bOZRDvEOC']",0
9f55fc316bc9c0748f16c060f720baf1,Verduras y hortalizas,0,0.0,5.2,0.5,3.4,1.2,1.5,32.0,0.8,"['Yxrkt32BZUAGwpxm1gEg', 'cSoODVpMKhGnpTL6xxSn', '1td50V0ztIZjCjIxqRjU', '0kHti3jkfjNYEOdiqaFM', 'UODOEihlSRK2ZXbuS1Fy', 'r3leHPdAWlXoeSUfJFge', 'e0S1ZCb4lzGVPW9MlUtj']",0
784d370fcb0c2f921132feaacc787afc,Aceites,0,2.0,0.0,14.0,0.0,0.0,0.0,120.0,0.0,['3SSIwcLXeAYwSewfwAiO'],0
ff57e004ce8bfb34aba5e73eb3ba2c23,Verduras y hortalizas,0,0.0,6.1,0.0,4.8,0.0,1.4,27.0,0.68,"['uEpD0T8XJwzUcaG7rLAj', 'cSoODVpMKhGnpTL6xxSn', 'IPokqKAb1p9bOZRDvEOC', '1td50V0ztIZjCjIxqRjU', '0kHti3jkfjNYEOdiqaFM', 'UODOEihlSRK2ZXbuS1Fy', 'r3leHPdAWlXoeSUfJFge']",0
280895dd94c0a4abf664e8e80d4ed322,Helados,0,14.0,31.0,24.0,28.0,4.0,0.9,360.0,0.1,"['XzlwgzxTvDecP52n0pqc', 'qGcE9rg2qcrD0fzbfEW8', 'iPeUC5sJoP86FRDOM7Xb', '1td50V0ztIZjCjIxqRjU', 'UODOEihlSRK2ZXbuS1Fy', 'bN7bygWuMBeyXkF2liKm', 'uxliri5YhtwjjTx2rt4Z', 'rWrjsiFXn1U0QfJxDDXI', '7ZargBWUn7XjUv4CrQIQ', 'pn4ps6dOCEVeVJZ6iVWJ', 'nv8qTcdIH6u41bJ63TQu', 'N3y7yDC3znfIWxDuf6Tw', 'DfJmyg9l6Sc3ASIF1q2G', 'rmJEE4bFWpPIrtO8moNY', 'yYbVh8QmCfhjHMLaTdwb', '29730kLwkW3kxGzyOunD', 'Ao6CaPGOixij2kmo2TzZ', 'EInFvJ1B8OAw3MPdoPdy']",1
78e40d1950f5d975f46a1def30a24636,Cacao y chocolate,0,,12.5,54.0,1.0,14.0,0.0,623.0,0.25,['UQsN3ErKH1r9cwGhVqaY'],0
